food_id,shortname_eng
4906,Milk
4907,Milk
4908,Low fat Milk
4909,Milk
4910,Milk
4911,Milk
4912,Milk
4913,Low fat Milk
4914,Low fat Milk
4915,Low fat Milk
4916,Milk
4917,Flavored milk drinks
4918,Low fat Milk
4919,Milk
4920,Goats Milk
4921,Goats Milk
4922,Sheep milk
4925,Whey
4926,Milk Drink
4927,Natural Yogurt
4928,Natural Yogurt
4929,Natural Yogurt
4930,Revion
4931,Fruit flavored Revion
4932,Natural Yogurt
4933,Yogurt and Granola
4934,Sweet Yogurt
4935,Natural Yogurt
4936,Natural Yogurt
4937,Fruit flavored Yogurt
4938,Diet flavored Yogurt
4939,Natural Yogurt
4940,Natural Yogurt
4941,Natural Yogurt
4942,Fruit flavored Yogurt
4943,Natural Yogurt
4944,Natural Yogurt Drinks
4945,Buffalo milk Yogurt
4946,Natural Yogurt
4947,Flavored Yogurt
4948,Diet Actimel
4949,Natural Yogurt
4950,Actimel
4951,Diet flavored Yogurt
4952,Flavored Yogurt Drinks
4953,Natural Yogurt Drinks
4954,Diet flavored Yogurt
4955,Goat Milk Yogurt
4956,Fruit flavored Yogurt Drinks
4957,Fruit flavored Yogurt Drinks
4958,Diet Yogurt Drinks
4959,Goat Milk Yogurt
4960,Goat Milk Yogurt
4961,Yogurt and Granola
4962,Yogurt with toppings
4963,Buffalo milk Yogurt
4964,Yogurt with toppings
4965,Yogurt with fruits
4966,Fruit flavored Yogurt
4967,Fruit flavored Yogurt
4968,Fruit flavored Yogurt
4969,Eshel
4970,Natural Yogurt
4971,Natural Yogurt
4972,Fruit flavored Yogurt
4973,Natural Yogurt
4974,Natural Yogurt
4975,Leben
4976,Fruit flavored Yogurt
4977,Yogurt and Granola
4978,Yogurt with bananas
4979,Gil Leben
4980,Natural Yogurt
4981,Cooked Leben
4982,Yogurt with Chocolate
4983,Cooked Leben
4984,Goat Milk Yogurt
4985,Natural Yogurt
4986,Leben
4987,Buffalo Yogurt
4988,Natural Yogurt Drinks
4989,Natural Yogurt
4990,Sweet Leben
4991,Yogurt with Fruits
4992,Diet flavored Yogurt
4993,Sweet Yogurt
